0	0.0140524	0.00424803
0.01	0.0141915	0.00445086
0.02	0.0139245	0.0043239
0.03	0.0139923	0.00434153
0.04	0.0142406	0.00446752
0.05	0.0152728	0.00444933
0.06	0.0148305	0.00454431
0.07	0.0143123	0.00457834
0.08	0.0148161	0.00454879
0.09	0.0148811	0.0046175
0.1	0.0146798	0.00475525
0.11	0.0157776	0.0047613
0.12	0.0155748	0.00483422
0.13	0.0153643	0.00476514
0.14	0.0158418	0.00481985
0.15	0.0157734	0.00486128
0.16	0.0160302	0.00490792
0.17	0.015957	0.00490156
0.18	0.0167933	0.00510608
0.19	0.0172123	0.00513159
0.2	0.017077	0.0051862
0.21	0.0162749	0.00516804
0.22	0.0187151	0.00535973
0.23	0.0168009	0.00536592
0.24	0.0178237	0.00531216
0.25	0.0182529	0.00556226
0.26	0.0174259	0.00559809
0.27	0.0177553	0.00552689
0.28	0.0179505	0.0057042
0.29	0.0175764	0.00560299
0.3	0.0176519	0.00570566
0.31	0.0180421	0.00582004
0.32	0.0184027	0.00601258
0.33	0.0191116	0.00593085
0.34	0.0202151	0.00594126
0.35	0.0197314	0.00609713
0.36	0.0201171	0.00627725
0.37	0.0197131	0.00629024
0.38	0.0204037	0.00644764
0.39	0.0188899	0.00638347
0.4	0.0207671	0.00642085
0.41	0.02012	0.00655002
0.42	0.0201401	0.00666917
0.43	0.0209938	0.0066945
0.44	0.0208033	0.00691715
0.45	0.0213881	0.00693231
0.46	0.0233636	0.00697119
0.47	0.0232884	0.00710303
0.48	0.0234889	0.00723292
0.49	0.0229268	0.00730763
0.5	0.0222293	0.00731434
0.51	0.0239992	0.00758876
0.52	0.0236219	0.00772677
0.53	0.0245749	0.00797362
0.54	0.0259468	0.00796785
0.55	0.0242699	0.00808673
0.56	0.0266162	0.00819472
0.57	0.0260612	0.00854229
0.58	0.0266673	0.00856756
0.59	0.0286277	0.0084323
0.6	0.0275577	0.0090888
0.61	0.02728	0.0090268
0.62	0.0282815	0.00906983
0.63	0.0293994	0.00940829
0.64	0.0294548	0.00959565
0.65	0.0310764	0.00994091
0.66	0.0315964	0.00982489
0.67	0.031393	0.0103626
0.68	0.0321361	0.0104845
0.69	0.0334828	0.0101013
0.7	0.0337949	0.0107246
0.71	0.0331768	0.0109489
0.72	0.0358236	0.0113724
0.73	0.0343728	0.0117552
0.74	0.0395217	0.0113001
0.75	0.0394972	0.012526
0.76	0.0368875	0.0125814
0.77	0.0439553	0.012709
0.78	0.0444474	0.0131032
0.79	0.0429515	0.01287
0.8	0.0430752	0.0140252
0.81	0.0421882	0.0138616
0.82	0.0465274	0.0149839
0.83	0.0426773	0.0148751
0.84	0.0514936	0.0146747
0.85	0.0528257	0.0159746
0.86	0.0553863	0.0164745
0.87	0.0527584	0.0176648
0.88	0.055468	0.0179116
0.89	0.0682724	0.0182774
0.9	0.0557341	0.0175996
0.91	0.0642555	0.0195296
0.92	0.0691381	0.0199394
0.93	0.0756582	0.0210829
0.94	0.0930408	0.0210837
0.95	0.0957718	0.0221591
0.96	0.092064	0.0229457
0.97	0.0943669	0.0250839
0.98	0.115236	0.0259261
0.99	0.134404	0.0274162
1	0.149805	0.0257956
1.01	0.153359	0.0276962
1.02	0.217175	0.0227243
1.03	0.226822	0.0222451
1.04	0.281854	0.0194055
1.05	0.309205	0.0172771
1.06	0.36232	0.0159526
1.07	0.404659	0.0110892
1.08	0.420269	0.0121381
1.09	0.483492	0.00943112
1.1	0.515845	0.00674675
1.11	0.599744	0.00476299
1.12	0.615373	0.00599581
1.13	0.663421	0.00318641
1.14	0.726811	0.00238563
1.15	0.750745	0.00208582
1.16	0.813505	0.00113188
1.17	0.85957	0.000641675
1.18	0.911185	9.45191e-05
1.19	0.95492	2.79334e-05
1.2	1.00144	2.21016e-05
1.21	1.05648	8.91213e-05
1.22	1.09536	0.000185994
1.23	1.14858	0.00044804
1.24	1.1918	0.00104922
1.25	1.23744	0.00109625
1.26	1.28277	0.00156361
1.27	1.33285	0.00216621
1.28	1.38798	0.00326839
1.29	1.43022	0.00392233
1.3	1.4722	0.00437309
1.31	1.52843	0.00509467
1.32	1.57729	0.00638318
1.33	1.62674	0.00814616
1.34	1.67501	0.00962811
1.35	1.72065	0.0101518
1.36	1.77052	0.0110531
1.37	1.82298	0.0128617
1.38	1.86826	0.0143544
1.39	1.9203	0.016369
1.4	1.9636	0.0170494
1.41	2.01656	0.0187703
1.42	2.0596	0.0206233
1.43	2.11635	0.0219125
1.44	2.15785	0.0253518
1.45	2.21257	0.0263489
1.46	2.258	0.0282446
1.47	2.30488	0.0295594
1.48	2.35229	0.0318583
1.49	2.40798	0.03387
1.5	2.45463	0.0384358
1.51	2.50212	0.0384449
1.52	2.54965	0.0412741
1.53	2.60521	0.0446192
1.54	2.64867	0.0464197
1.55	2.70012	0.0485164
1.56	2.7477	0.0507514
1.57	2.80005	0.0523546
1.58	2.84442	0.0545683
1.59	2.89927	0.0573016
